Gmt time,Open,High,Low,Close,Volume
23.04.2019 07:00:00.000,664.598,665.698,664.297,665.398,0.0399
23.04.2019 07:01:00.000,665.397,665.397,663.497,664.097,0.042
23.04.2019 07:02:00.000,664.098,664.998,664.097,664.798,0.1892
23.04.2019 07:03:00.000,664.798,665.098,664.698,664.698,0.062
23.04.2019 07:04:00.000,664.698,664.998,664.197,664.298,0.0294
23.04.2019 07:05:00.000,664.198,664.898,664.197,664.897,0.048
23.04.2019 07:06:00.000,664.997,664.997,664.697,664.798,0.0985
23.04.2019 07:07:00.000,664.898,665.098,664.897,664.998,0.0369
23.04.2019 07:08:00.000,664.998,665.098,664.797,664.998,0.0815
23.04.2019 07:09:00.000,664.997,665.197,664.997,665.098,0.0804
23.04.2019 07:10:00.000,664.998,665.098,664.698,664.798,0.0838
23.04.2019 07:11:00.000,664.798,664.898,664.797,664.797,0.0207
23.04.2019 07:12:00.000,664.798,665.298,664.798,664.998,0.0984
23.04.2019 07:13:00.000,664.997,665.198,664.797,664.998,0.1332
23.04.2019 07:14:00.000,664.997,665.098,664.497,664.498,0.1383
23.04.2019 07:15:00.000,664.497,664.698,664.297,664.698,0.0979
23.04.2019 07:16:00.000,664.697,664.998,664.597,664.598,0.1898
23.04.2019 07:17:00.000,664.598,665.298,664.598,665.298,0.1345
23.04.2019 07:18:00.000,665.298,665.298,664.797,664.797,0.0565
23.04.2019 07:19:00.000,664.798,664.898,664.697,664.698,0.075
23.04.2019 07:20:00.000,664.697,664.898,664.697,664.798,0.1105
23.04.2019 07:21:00.000,664.797,665.098,664.498,665.098,0.0671
23.04.2019 07:22:00.000,665.198,665.198,665.097,665.097,0.0949
23.04.2019 07:23:00.000,664.898,664.898,664.498,664.598,0.0667
23.04.2019 07:24:00.000,664.598,664.798,664.597,664.797,0.0802
23.04.2019 07:25:00.000,664.797,664.797,664.397,664.397,0.0481
23.04.2019 07:26:00.000,664.398,664.498,664.397,664.498,0.0098
23.04.2019 07:27:00.000,664.497,664.698,664.497,664.697,0.1053
23.04.2019 07:28:00.000,664.698,664.898,664.597,664.797,0.1363
23.04.2019 07:29:00.000,664.798,664.798,664.397,664.397,0.1297
23.04.2019 07:30:00.000,664.398,664.898,664.397,664.898,0.1501
23.04.2019 07:31:00.000,664.997,664.998,664.797,664.898,0.1679
