Gmt time,Open,High,Low,Close,Volume
23.04.2019 07:00:00.000,819.698,821.098,819.697,820.498,0.034
23.04.2019 07:01:00.000,820.297,822.097,820.297,820.598,0.0395
23.04.2019 07:02:00.000,820.597,820.798,819.597,820.697,0.0115
23.04.2019 07:03:00.000,820.697,820.698,819.698,820.698,0.0142
23.04.2019 07:04:00.000,820.697,820.698,819.597,820.397,0.0103
23.04.2019 07:05:00.000,820.398,820.797,820.297,820.797,0.0075
23.04.2019 07:06:00.000,820.798,820.798,820.097,820.298,0.015
23.04.2019 07:07:00.000,820.697,820.798,820.397,820.398,0.0111
23.04.2019 07:08:00.000,820.097,820.198,819.298,819.497,0.0122
23.04.2019 07:09:00.000,819.398,819.398,818.697,819.098,0.0134
23.04.2019 07:10:00.000,819.198,820.298,819.197,820.297,0.0229
23.04.2019 07:11:00.000,820.397,820.698,819.997,820.697,0.0154
23.04.2019 07:12:00.000,820.398,820.398,819.998,819.998,0.0088
23.04.2019 07:13:00.000,819.997,819.998,818.597,819.197,0.0131
23.04.2019 07:14:00.000,819.198,819.598,818.697,819.398,0.0145
23.04.2019 07:15:00.000,819.497,819.798,819.298,819.798,0.0267
23.04.2019 07:16:00.000,819.797,819.798,818.697,818.998,0.0271
23.04.2019 07:17:00.000,818.997,819.498,818.197,818.797,0.0341
23.04.2019 07:18:00.000,818.798,818.798,817.497,817.897,0.0195
23.04.2019 07:19:00.000,818.097,818.397,817.897,818.397,0.0113
23.04.2019 07:20:00.000,818.197,818.898,818.098,818.297,0.0247
23.04.2019 07:21:00.000,818.498,818.898,818.297,818.297,0.0108
23.04.2019 07:22:00.000,818.397,818.398,817.997,818.297,0.0056
23.04.2019 07:23:00.000,818.298,818.598,818.097,818.197,0.0074
23.04.2019 07:24:00.000,818.198,818.697,818.097,818.597,0.0106
23.04.2019 07:25:00.000,818.598,819.097,818.598,819.097,0.0057
23.04.2019 07:26:00.000,819.097,819.098,818.797,818.998,0.0028
23.04.2019 07:27:00.000,818.798,819.598,818.798,819.598,0.0124
23.04.2019 07:28:00.000,819.498,819.598,818.697,818.998,0.0165
23.04.2019 07:29:00.000,818.998,819.097,818.697,818.897,0.0112
23.04.2019 07:30:00.000,819.098,819.198,818.797,818.797,0.0068
23.04.2019 07:31:00.000,818.897,818.898,818.697,818.698,0.0083
23.04.2019 07:32:00.000,818.797,818.798,818.597,818.598,0.0035
23.04.2019 07:33:00.000,818.698,818.898,818.297,818.297,0.0166
23.04.2019 07:34:00.000,818.198,818.297,817.897,817.998,0.0146
23.04.2019 07:35:00.000,817.897,818.698,817.597,818.498,0.0283
23.04.2019 07:36:00.000,818.598,819.098,818.597,818.598,0.0175
23.04.2019 07:37:00.000,818.597,818.797,817.397,817.597,0.0202
23.04.2019 07:38:00.000,817.398,817.998,817.397,817.998,0.0109
