Gmt time,Open,High,Low,Close,Volume
23.04.2019 07:00:00.000,842.797,843.197,839.797,840.397,0.0062
23.04.2019 07:01:00.000,840.397,840.798,837.197,837.598,0.0308
23.04.2019 07:02:00.000,837.597,837.998,836.197,837.398,0.004
23.04.2019 07:03:00.000,837.397,837.998,836.198,837.998,0.0166
23.04.2019 07:04:00.000,837.998,837.998,837.998,837.998,0.001
23.04.2019 07:05:00.000,838.197,838.198,838.197,838.198,0.0031
23.04.2019 07:06:00.000,838.197,840.198,838.197,840.198,0.008
23.04.2019 07:07:00.000,840.197,841.198,839.998,841.197,0.0117
23.04.2019 07:08:00.000,841.197,841.198,841.197,841.197,0.0034
23.04.2019 07:09:00.000,838.998,843.550,837.198,841.397,0.0259
23.04.2019 07:10:00.000,841.398,843.597,841.397,842.398,0.011
23.04.2019 07:11:00.000,842.398,843.198,841.398,842.998,0.0057
23.04.2019 07:12:00.000,844.197,844.597,844.197,844.597,0.0029
23.04.2019 07:13:00.000,844.597,844.797,842.997,842.997,0.0097
23.04.2019 07:14:00.000,844.397,845.450,843.997,843.998,0.0108
23.04.2019 07:15:00.000,843.997,845.197,843.997,844.997,0.004
23.04.2019 07:16:00.000,844.998,844.998,844.998,844.998,0.0006
23.04.2019 07:17:00.000,844.997,845.998,843.997,844.998,0.0137
23.04.2019 07:18:00.000,845.398,846.997,845.197,845.198,0.0177
23.04.2019 07:19:00.000,845.397,847.398,845.397,846.797,0.0087
23.04.2019 07:20:00.000,846.597,846.998,845.997,846.998,0.0075
23.04.2019 07:21:00.000,847.197,847.998,846.997,847.198,0.0057
23.04.2019 07:22:00.000,847.198,847.998,847.197,847.798,0.0061
23.04.2019 07:23:00.000,847.797,847.998,846.997,847.198,0.01
23.04.2019 07:24:00.000,847.598,847.598,846.997,847.398,0.0079
23.04.2019 07:25:00.000,847.798,848.998,847.397,848.998,0.0173
23.04.2019 07:26:00.000,848.797,848.998,848.797,848.797,0.0016
23.04.2019 07:27:00.000,848.798,849.198,847.998,849.198,0.0058
23.04.2019 07:28:00.000,849.000,850.998,847.997,850.998,0.0133
23.04.2019 07:29:00.000,850.997,851.598,850.597,851.597,0.0075
23.04.2019 07:30:00.000,851.597,851.597,850.197,850.398,0.0095
23.04.2019 07:31:00.000,850.597,850.598,850.197,850.198,0.004
23.04.2019 07:32:00.000,850.198,850.398,849.398,850.398,0.0114
23.04.2019 07:33:00.000,850.997,851.198,850.798,851.198,0.0051
23.04.2019 07:34:00.000,851.197,851.197,849.398,849.398,0.0069
23.04.2019 07:35:00.000,850.198,850.398,849.397,849.398,0.0078
23.04.2019 07:36:00.000,849.398,851.998,849.397,851.998,0.0203
23.04.2019 07:37:00.000,851.397,851.598,849.797,850.397,0.0226
23.04.2019 07:38:00.000,850.598,850.798,850.197,850.598,0.0241
23.04.2019 07:39:00.000,850.597,851.398,850.597,850.998,0.0319
23.04.2019 07:40:00.000,850.997,850.998,849.997,850.398,0.0226
23.04.2019 07:41:00.000,850.197,850.398,849.798,850.198,0.0074
23.04.2019 07:42:00.000,850.398,850.598,850.397,850.598,0.0179
23.04.2019 07:43:00.000,850.597,850.597,849.798,850.197,0.0305
23.04.2019 07:44:00.000,850.398,850.598,849.397,849.997,0.0279
23.04.2019 07:45:00.000,849.997,850.598,849.398,849.797,0.0408
23.04.2019 07:46:00.000,849.798,850.198,849.197,850.198,0.0232
23.04.2019 07:47:00.000,849.798,849.798,849.198,849.398,0.0047
23.04.2019 07:48:00.000,849.397,850.598,848.997,850.398,0.0285
23.04.2019 07:49:00.000,850.398,850.998,850.398,850.997,0.0218
23.04.2019 07:50:00.000,851.197,851.398,850.998,851.398,0.0079
23.04.2019 07:51:00.000,851.350,852.598,850.997,851.597,0.0346
23.04.2019 07:52:00.000,851.598,852.798,851.598,852.598,0.0341
23.04.2019 07:53:00.000,852.398,852.997,851.997,852.597,0.0097
23.04.2019 07:54:00.000,852.598,852.598,851.997,851.997,0.0031
23.04.2019 07:55:00.000,851.998,852.198,851.397,851.397,0.0092
23.04.2019 07:56:00.000,851.798,851.998,851.798,851.798,0.0058
23.04.2019 07:57:00.000,851.997,853.398,851.997,853.397,0.0219
23.04.2019 07:58:00.000,853.397,853.398,852.798,852.997,0.0098
23.04.2019 07:59:00.000,852.798,853.198,852.398,853.198,0.0055
23.04.2019 08:00:00.000,853.397,853.398,852.798,852.998,0.0326
23.04.2019 08:02:00.000,852.998,852.998,851.197,851.197,0.0186
23.04.2019 08:03:00.000,851.198,852.397,851.197,852.397,0.0106
23.04.2019 08:04:00.000,852.398,852.398,851.997,852.198,0.0041
23.04.2019 08:05:00.000,852.397,855.198,852.397,854.797,0.0461
23.04.2019 08:06:00.000,854.798,854.998,854.197,854.998,0.0144
23.04.2019 08:07:00.000,855.198,855.998,855.198,855.997,0.0164
23.04.2019 08:08:00.000,855.998,856.198,855.997,856.198,0.0043
23.04.2019 08:09:00.000,855.998,856.597,855.998,856.198,0.0131
23.04.2019 08:10:00.000,856.397,856.798,856.197,856.198,0.0156
23.04.2019 08:11:00.000,856.198,856.198,856.198,856.198,0.0004
23.04.2019 08:12:00.000,856.398,856.998,856.397,856.998,0.0092
23.04.2019 08:13:00.000,856.997,857.198,856.997,857.198,0.0118
23.04.2019 08:14:00.000,857.197,857.998,857.197,857.798,0.0309
23.04.2019 08:15:00.000,858.197,858.398,857.997,858.398,0.0112
23.04.2019 08:16:00.000,858.397,858.397,858.397,858.397,0.0032
23.04.2019 08:17:00.000,858.398,858.398,857.797,857.798,0.0114
23.04.2019 08:18:00.000,857.997,858.198,857.798,857.798,0.0155
23.04.2019 08:19:00.000,857.998,857.998,857.797,857.797,0.0237
23.04.2019 08:20:00.000,857.798,857.998,857.598,857.998,0.0371
23.04.2019 08:21:00.000,857.997,858.198,857.997,857.998,0.0179
23.04.2019 08:22:00.000,857.998,857.998,855.598,856.598,0.0278
23.04.2019 08:23:00.000,856.397,856.398,856.197,856.397,0.0157
23.04.2019 08:24:00.000,856.397,856.397,855.197,855.598,0.0082
23.04.2019 08:25:00.000,855.198,855.198,854.598,854.798,0.0144
23.04.2019 08:26:00.000,854.997,855.398,854.797,854.797,0.022
23.04.2019 08:27:00.000,854.798,854.798,853.597,853.798,0.0192
23.04.2019 08:28:00.000,853.998,854.598,853.798,854.598,0.0057
23.04.2019 08:29:00.000,854.598,854.598,853.997,854.397,0.0049
23.04.2019 08:30:00.000,854.398,854.597,851.797,852.598,0.0115
23.04.2019 08:31:00.000,852.597,854.597,852.597,854.597,0.0298
23.04.2019 08:32:00.000,854.598,854.797,854.198,854.598,0.0021
23.04.2019 08:34:00.000,854.597,854.597,854.597,854.597,0.0001
23.04.2019 08:35:00.000,854.598,854.798,853.397,853.397,0.0162
23.04.2019 08:36:00.000,853.597,853.598,853.197,853.197,0.0106
23.04.2019 08:37:00.000,853.198,853.198,852.797,852.998,0.0133
