Gmt time,Open,High,Low,Close,Volume
23.04.2019 07:00:00.000,919.798,926.797,919.798,925.798,0.0105
23.04.2019 07:01:00.000,925.797,927.798,924.597,927.198,0.0595
23.04.2019 07:02:00.000,927.398,927.998,926.997,926.997,0.0204
23.04.2019 07:03:00.000,926.997,926.998,925.197,925.397,0.0198
23.04.2019 07:04:00.000,925.397,925.798,924.597,924.597,0.0196
23.04.2019 07:05:00.000,924.598,925.998,922.997,925.998,0.0112
23.04.2019 07:06:00.000,925.998,925.998,923.998,924.398,0.0061
23.04.2019 07:07:00.000,924.397,925.198,923.798,924.997,0.0104
23.04.2019 07:08:00.000,924.998,924.998,919.997,923.798,0.024
23.04.2019 07:09:00.000,923.797,924.398,923.597,923.597,0.0122
23.04.2019 07:10:00.000,923.197,923.998,922.997,923.398,0.0269
23.04.2019 07:11:00.000,923.397,923.397,921.997,922.398,0.0333
23.04.2019 07:12:00.000,921.597,921.798,920.798,920.798,0.0146
23.04.2019 07:13:00.000,920.997,922.598,920.997,922.397,0.0289
23.04.2019 07:14:00.000,922.397,922.397,920.797,921.998,0.0214
23.04.2019 07:15:00.000,922.197,922.798,921.597,922.797,0.0299
23.04.2019 07:16:00.000,922.797,923.598,922.797,922.997,0.0331
23.04.2019 07:17:00.000,923.398,924.198,922.997,924.198,0.0119
23.04.2019 07:18:00.000,924.197,924.998,923.797,923.798,0.0197
23.04.2019 07:19:00.000,924.197,925.598,922.797,925.398,0.0522
23.04.2019 07:20:00.000,925.397,925.598,924.597,924.597,0.0315
23.04.2019 07:21:00.000,924.397,924.798,923.597,924.198,0.0237
23.04.2019 07:22:00.000,924.900,925.997,924.797,925.598,0.0128
23.04.2019 07:23:00.000,925.597,925.798,924.997,924.997,0.0116
23.04.2019 07:24:00.000,924.997,925.798,924.997,925.797,0.0198
23.04.2019 07:25:00.000,925.798,925.798,925.597,925.597,0.0049
23.04.2019 07:26:00.000,925.798,925.997,925.597,925.997,0.0155
23.04.2019 07:27:00.000,925.997,926.198,925.997,925.998,0.0166
23.04.2019 07:28:00.000,925.997,927.398,925.997,927.397,0.0255
23.04.2019 07:29:00.000,927.398,927.798,927.397,927.398,0.0151
23.04.2019 07:30:00.000,927.597,928.198,927.597,927.997,0.015
23.04.2019 07:31:00.000,927.997,928.397,927.597,927.998,0.0322
23.04.2019 07:32:00.000,927.997,927.998,927.397,927.597,0.0197
23.04.2019 07:33:00.000,927.998,928.398,927.997,928.398,0.0141
23.04.2019 07:34:00.000,928.197,928.798,928.197,928.597,0.0399
23.04.2019 07:35:00.000,928.597,928.597,926.597,926.597,0.054
23.04.2019 07:36:00.000,926.597,926.598,925.397,925.998,0.0212
23.04.2019 07:37:00.000,925.997,926.598,925.397,925.597,0.011
23.04.2019 07:38:00.000,925.597,925.598,924.797,924.797,0.0164
23.04.2019 07:39:00.000,924.798,925.598,923.998,925.397,0.0147
23.04.2019 07:40:00.000,925.597,925.798,925.397,925.598,0.0096
23.04.2019 07:41:00.000,925.398,925.798,925.397,925.398,0.008
23.04.2019 07:42:00.000,925.198,925.998,925.197,925.998,0.0111
23.04.2019 07:43:00.000,925.798,926.598,925.797,925.998,0.0151
23.04.2019 07:44:00.000,925.798,926.198,925.797,926.198,0.0175
23.04.2019 07:45:00.000,926.198,926.198,925.397,925.397,0.022
23.04.2019 07:46:00.000,925.597,925.797,925.397,925.597,0.0123
23.04.2019 07:47:00.000,925.997,925.998,925.797,925.997,0.0202
23.04.2019 07:48:00.000,925.797,926.198,925.797,925.997,0.0179
23.04.2019 07:49:00.000,925.797,925.998,925.397,925.397,0.0276
23.04.2019 07:50:00.000,925.398,925.797,924.997,925.797,0.018
23.04.2019 07:51:00.000,925.798,926.597,925.798,926.397,0.008
23.04.2019 07:52:00.000,926.598,926.598,925.997,925.997,0.0113
23.04.2019 07:53:00.000,925.998,925.998,925.598,925.998,0.0121
23.04.2019 07:54:00.000,926.197,926.198,926.197,926.198,0.0032
23.04.2019 07:55:00.000,926.197,926.198,925.397,925.397,0.0091
23.04.2019 07:56:00.000,925.397,925.598,925.197,925.397,0.0612
