Key,Symbol,Name
UK1,AAL,Anglo American PLC
UK2,ABF,Associated British Foods PLC
UK3,ADM,Admiral Group PLC
UK4,AGK,Aggreko PLC
UK5,AHT,Ashtead Group PLC
UK6,ANTO,Antofagasta PLC
UK7,AV,Aviva PLC
UK8,AZN,AstraZeneca PLC
UK9,BA,BAE Systems PLC
UK10,BAB,Babcock International Group PLC
UK11,BARC,Barclays PLC
UK12,BATS,British American Tobacco PLC
UK13,BLND,British Land Co PLC
UK14,BLT,BHP Billiton PLC
UK15,BNZL,Bunzi PLC
UK16,BP,BP PLC
UK17,BRBY,Burberry Group PLC
UK18,BT,BT Group PLC
UK19,CCL,Carnival PLC
UK20,CNA,Centrica PLC
UK21,CPG,Compass Group PLC
UK22,CPI,Capita PLC
UK23,CRDA,Croda International PLC
UK24,CRH,CRH PLC
UK25,DGE,Diageo PLC
UK26,EXPN,Experian PLC
UK27,EZJ,easyJet PLC
UK28,FRES,Fresnillo PLC
UK29,GFS,G4S PLC
UK30,GLEN,Glencore PLC
UK31,HMSO,Hammerson PLC
UK32,HSBA,HSBC Holdings PLC
UK33,IAG,International Consolidated Airlines Group
UK34,IHG,InterContinetal Hotels Group PLC
UK35,IMT,Imperial Brands PLC
UK36,ISAT,Inmarsat PLC
UK37,ITRK,Intertek Group PLC
UK38,ITV,ITV PLC
UK39,KGF,Kingfisher PLC
UK40,LAND,Land Securities Group PLC
UK41,LGEN,Legal & General Group PLC
UK42,LLOY,Lloyds Banking Group PLC
UK43,LSE,London Stock Exchange Group PLC
UK44,MKS,Marks & Spencer Group PLC
UK45,MNDI,Mondi PLC
UK46,MRW,WM Morrison Supermarkets PLC
UK47,NG,National Grid PLC
UK48,NXT,Next PLC
UK49,PFC,Petrofac
UK50,PRU,Prudential PLC
UK51,PSN,Persimmon PLC
UK52,PSON,Pearson PLC
UK53,RB,Reckitt Benckiser Group PLC
UK54,RBS,Royal Bank of Scotland Group PLC
UK55,RDSB,Royal Dutch Shell PLC
UK56,REL,Reed Elsevier PLC
UK57,RIO,Rio Tinto PLC
UK58,RMG,Royal Mail PLC
UK59,RR,Rolls-Royce Holdings PLC
UK60,RSA,RSA Insurance Group PLC
UK61,SBRY,J Sainsbury PLC
UK62,SGE,Sage Group PLC
UK63,SMIN,Smiths Group PLC
UK64,SN,Smith & Nephew PLC
UK65,SSE,SSE PLC
UK66,STAN,Standard Chartered PLC
UK67,SVT,Severn Trent PLC
UK68,TATE,Tate & Lyle PLC
UK69,TLW,Tullow Oil PLC
UK70,TPK,Travis Perkins PLC
UK71,TSCO,Tesco PLC
UK72,ULVR,Unilever PLC
UK73,UU,United Utilities Group PLC
UK74,VOD,Vodafone Group PLC
UK75,WEIR,Weir Group PLC
UK76,WOS,Wolseley PLC
UK77,WPP,WPP PLC
UK78,WTB,Whitbread PLC
